id,Label,new_id
1.94E+14,Pablo Massey,290
1.02E+16,McDonald's,518
2.17E+14,Burger King Thailand,106
1.65E+14,Dunkin' Donuts,477
1.47E+15,McDonald's Deutschland Karriere,504
79667539019,McDonald's,335
5.72E+14,Michael White,355
3.60E+14,Lillie's Asian Cuisine,33
1.25E+11,Aquarium Restaurant - Nashville,496
2.65E+14,Manu Feildel,62
1.80E+14,맥도날드 (McDonald's),255
1.59E+15,Camille Becerra,325
2.92E+11,KFC,276
1.96E+14,Whataburger,153
4.43E+14,Jumia Food,362
2.44E+14,Big Fernand,10
3.50E+11,Karlos Arguiñano,460
1.49E+14,Karen Martini,282
4.46E+14,Ogro Jimmy,567
1.85E+15,Chili's Tunisie,304
1.49E+14,Magnum,5
58615925843,Carrabba's Italian Grill,339
3.01E+14,Domino's Pizza,21
6.14E+14,Susur Lee,320
1.18E+14,Cook with Chef Duminda,464
3.24E+14,KFC,51
82813671947,Roblé,156
2.17E+14,KFC,149
4.18E+14,Brooke Williamson,155
3.17E+14,René Redzepi,505
1.84E+14,Cadillac Bar Kemah,209
3.18E+14,Fast Ed,236
3.09E+14,Cesare Casella,324
1.74E+14,Nando's,527
1.61E+14,Gandy Dancer Saloon/Oyster Bar,78
31769674454,Hardee's,226
3.28E+14,Peter Kuruvita,433
1.24E+14,Chef Francois Payard,170
2.28E+14,PROPERCORN,468
1.25E+15,Marc Veyrat,472
1.13E+14,Chope,387
1.39E+14,Simon Bryant,392
5.04E+14,Massimo Mele,193
2.14E+11,Chef Sam Talbot,544
39106648118,José Andrés,9
6.34E+14,Opry City Stage,308
3.54E+14,Cucina by Wolfgang Puck,370
1.68E+11,Iginio Massari,344
1.64E+14,Domino's Pizza,144
1.10E+15,Thomas Keller,588
1.23E+14,Emma Frisch,463
6979393237,Dunkin' Donuts,521
1.52E+14,McDonald's,165
1.16E+14,El Torito,215
2.58E+14,Chef Marc Murphy,601
1.73E+14,Dina Nikolaou,481
2.05E+11,KFC,358
1.18E+14,Acapulco,204
1.53E+15,Delverde,270
2.65E+11,Taco Bell Panamá,11
1.57E+14,Pollo Campero El Salvador,606
72919441588,KFC,42
4.79E+14,Michael Lomonaco,366
1.95E+14,Domino's Pizza Türkiye,150
1.84E+11,The Tuscan Gun,322
1.08E+11,Burger Lounge,379
6.27E+14,Pasqualino Barbasso,608
1.62E+14,McDonald's,579
1.33E+14,McDonald's,424
4.89E+14,Jumia Food,429
4.18E+14,Dunkin' Donuts,105
3.36E+14,Alfred Portale,242
1.38E+14,Magnum,416
4.49E+14,Jumia Food,220
3.29E+14,Jumia Food,535
7.87E+14,Alberto Chicote,337
2.40E+11,Lee Anne Wong,0
3.41E+14,Nando's PERi-PERi,30
5.93E+14,Nando's,213
2.74E+14,Paul Qui,207
1.61E+14,McDonald's,532
1.67E+14,"Subway, Cayman Islands",234
3.25E+11,Chef Aaron McCargo Jr,615
68177874032,Chef Carla Hall,350
4.67E+14,Gary Mehigan,169
2.38E+14,Leslie Gilliams,159
1.20E+14,Cook with Amber,456
1.61E+15,Sang Yoon,342
7144906559,KFC,555
3.78E+14,McDonald's República Dominicana,491
1.98E+14,McDonald's,48
1.10E+11,Chef Richard Sandoval,593
5.85E+14,Jumia Food,497
1.28E+14,Christian Bau,450
5.71E+14,Jumia Food,486
1.74E+11,McDonald's,85
43473682279,McDonald's,572
1.35E+14,Aliya LeeKong,482
1.61E+14,Taco Bell Kuwait,525
2.81E+14,McDonald's,488
49760289966,Chef Ben Ford,361
2.98E+11,Taste of London,286
1.45E+15,Cristian D'Elia,299
1.34E+14,Guillaume Gomez,517
3.39E+14,Christine Ha,458
3.53E+11,Chef Daniel Boulud,70
13166590145,Per Se,46
2.02E+14,Niko Romito,333
2.13E+14,Marc Forgione,257
3.84E+14,Noëmie Honiat Top Chef,443
3.22E+14,Princi,417
2.06E+14,Domino's Pizza,237
1.38E+14,Papacho's,412
2.31E+14,Hugh Acheson,128
3.59E+14,McDonald's,327
5.05E+14,Dunkin' Donuts,548
1.43E+14,Domino's Pizza,609
2.33E+11,McDonald's,612
2.96E+14,Jumia Food,6
1.95E+14,Alex Atala,146
1.07E+14,RIBS - True American Barbecue,582
1.16E+14,Burger King Malaysia,523
4.89E+14,Chef Sue Zemanick,208
5.62E+14,Chef Carlo Cracco,3
1.43E+11,McDonald's,179
21717766712,Chili's Beirut,173
1.33E+14,Duff Goldman,312
1.88E+14,Domino's Guatemala,263
1.29E+14,Dani García,498
1.32E+14,Nando's,108
3.81E+11,Taco Bell India,241
2.30E+11,Brew Bistro and Lounge,561
4.00E+14,Maneet Chauhan,549
5.63E+14,Mei Lin,254
3.09E+14,Chetna Makan,418
1.28E+14,Simon Gault,121
1.34E+14,Tom Colicchio,288
59699097994,Chef David Burke,116
3.50E+14,Chef Cynthia Louise,53
1.20E+14,Eddie V's Prime Seafood,196
3.96E+14,Daniel Humm,107
1.33E+14,Delverde,187
86672264842,Nando's,502
1.17E+14,Scott Conant,90
3.37E+14,Chef Jamie DeRosa,604
1.57E+15,Emmi CAFFÈ LATTE,66
2.59E+14,Cindy Pawlcyn,281
2.88E+14,McDonald's,421
3.51E+14,KFC,296
7.30E+14,Pierre Gagnaire,376
48543634386,Outback Steakhouse,305
4.47E+14,Chef Hirohiko Shoda,40
3.45E+14,Chef Andrew Gruel,436
3.57E+14,Donatella Arpaia,439
3.58E+14,foodpanda,605
1.82E+14,Dean Fearing,23
87171216223,Chef Charlie Palmer,275
2.08E+14,KFC,467
1.30E+14,Emmi CAFFÈ LATTE,461
3.81E+14,McDonald's,551
1.33E+14,Julia Child,584
1.91E+14,Geoffrey Zakarian,87
3.13E+11,YANNICK ALLENO OFFICIEL,552
1.18E+14,Narda Lepes,253
1.08E+14,Quique Dacosta,474
1.68E+14,McDonald's,45
2.31E+14,Tom Douglas Restaurants,268
2.98E+14,Nando's,279
4.05E+14,Johnny Prep,197
1.73E+15,Mathieu Pacaud,401
83166933592,Mirko Ronzoni,185
2.22E+14,Anjali Pathak,80
1.54E+11,Second Floor Cafe 貳樓餐飲,402
31819402173,Chef G. Garvin,302
1.38E+14,KFC,332
9.02E+14,Chef Maeve Rochford,557
1.56E+14,Manjula's Kitchen - Indian Vegetarian Recipes,166
1.62E+14,Enrique Olvera,323
4.96E+14,Valentin Neraudeau,388
1.31E+14,Taco Bell UK,145
2.36E+14,Chevys Fresh Mex,540
1.87E+14,Nyesha Arrington,250
1.03E+11,Luna Grill,96
5.27E+14,Chef Nina Compton,373
1.57E+14,McDonald's,123
1.72E+14,Big Fish Seafood Bistro,437
3.48E+14,Dunkin' Donuts,219
1.34E+14,Domino's Pizza,613
5.42E+14,Chef Rubio,575
1.00E+11,Stephanie Izard,510
1.65E+11,KFC,559
3.20E+14,Kevin Dundon,581
1.09E+11,KFC,423
1.65E+15,Eduardo Palazuelos,610
1.21E+11,Domino's Pizza,152
6.81E+14,Harlem EatUp,413
1.71E+14,Gavin Kaysen,205
1.49E+14,Taco Bell Rep Dom,380
1.92E+14,Francesco Sole,272
4.67E+14,McDonald's,142
2.15E+14,Raymond Blanc,269
7.84E+14,Michel Nischan,289
50046157045,Cuoco Filippo La Mantia,65
6.81E+14,Colin Fassnidge,364
62675969126,Chuck Hughes,345
4.06E+14,Amy Thielen,102
2.57E+14,Thierry Rautureau,519
1.47E+14,Jean-François Piège     -      Page Officielle,363
4.47E+11,Chef Diego Lozano,614
1.28E+14,Jacques Pépin,317
3.59E+14,Donato De Santis,563
2.30E+14,Juliana Lopez May,104
4.50E+14,McDonald's,586
1.35E+14,Robin Miller,611
73921188213,Cadillac Bar Houston,180
1.54E+15,Chef Derrick Fox,479
1.27E+11,Nando's,28
2.31E+11,McDonald's,515
2.99E+11,Domino's Mx,84
1.34E+14,Dan Kluger,68
3.02E+14,Chef Ana Paula,112
2.60E+14,Dunkin' Donuts,556
18595834696,Taco Bell,264
6.97E+14,Bryce Shuman,550
1.29E+14,Eva Arguiñano,587
1.64E+14,Gandy Dancer,210
1.90E+14,McDonald's,297
3.63E+14,Alex French Guy Cooking,251
3.17E+14,Magnum,266
1.54E+11,Marcus Samuelsson,217
2.01E+11,Tom's Kitchen,499
1.25E+14,McDonald's,487
5.80E+14,foodpanda,26
15508591668,Dairy Queen,326
4.23E+14,Roxanne Spruance,569
1.72E+15,hellofood,301
1.00E+11,McDonald's,127
1.44E+14,Hearth,359
3.33E+14,Elizabeth Karmel,603
1.43E+14,Eddie Jackson - FIT CHEF EDDIE,321
48754878397,KFC,598
2.56E+11,KFC,565
2.24E+11,Subway,618
4.99E+14,Douglas Keane,59
1.54E+15,Emmi CAFFÈ LATTE,574
1.85E+14,McDonald's,524
1.28E+14,Martín Berasategui,88
2.45E+14,Shane Delia,285
1.29E+14,Chili's México,73
9.95E+14,Katie Pix,110
1.26E+14,Danny Smiles,391
5.46E+14,Ranveer Brar,426
2.48E+14,Diego Guerrero,64
2.96E+11,McDonald's,357
1.44E+11,翠華餐廳 Tsui Wah Restaurant,190
2.98E+14,Five Guys,589
1.93E+15,Domino's Pizza,75
2.23E+14,Samin Nosrat,617
1.61E+14,McDonald's,566
39229110919,Morton's The Steakhouse,129
1.55E+14,River Crab Blue Water Inn,55
9.54E+14,George Pagonis,4
1.67E+15,Steve Konopelski,394
3.39E+11,Bruno Oteiza,571
1.55E+14,Nikki Dinki,451
1.63E+14,Virginia Willis,446
3.00E+11,Nando's,547
1.87E+14,McDonald's,315
1.71E+14,McDonald's,508
5.09E+14,Chef Alex Levin,607
1.17E+14,McDonald's,348
1.06E+14,Aarón Sánchez,597
3.07E+14,Dan Steph & Emmy,341
6.31E+14,Dunkin' Donuts,267
1.28E+14,Chef Elizabeth Falkner,198
3.35E+14,Ernst Knam,17
4.35E+14,Guy Savoy,244
2.95E+14,McDonald's Japan,595
1.59E+11,Nando's,438
1.55E+14,McDonald's,191
3.19E+14,Chef Clément,459
1.54E+15,Christina Tosi,15
2.90E+14,Paul Hollywood,408
90354836008,Xi'an Famous Foods 西安名吃,167
2.82E+14,Emmi CAFFÈ LATTE,141
2.16E+14,Lío,513
2.12E+14,Guga Rocha,93
1.45E+15,Jock Zonfrillo,228
2.17E+14,foodpanda - 空腹熊貓,216
1.07E+14,Chef Carmen Gonzalez,239
1.76E+14,Suzanne Goin,509
1.86E+11,McDonald's,395
1.66E+14,Food Busker,184
3.87E+14,Crepes & Waffles,91
1.08E+11,McDonald's,430
3.77E+14,Jumia Food,478
4.04E+14,Matthew Kenney,122
1.99E+14,Ken Oringer,351
4.17E+14,Gemma Stafford,407
1.49E+14,KFC,113
1.63E+14,Buddy Valastro,120
22343544970,Bahama Breeze Island Grille,29
1.15E+14,Domino's Pizza,400
1.59E+14,Marcel Vigneron,445
1.12E+14,Krispy Kreme UK,200
2.98E+14,Kunal Kapur,300
2.84E+14,Gregory Gourdet,83
1.48E+14,Ben Sargent & Dr. Klaw,2
2.06E+14,Domino's Pizza,119
1.65E+15,Martha Collison,506
1.74E+11,Francis Mallmann,225
5.41E+14,Cat Cora,60
1.50E+14,"Mary Nolan, Bon Appétit Executive Chef",514
1.54E+14,Bobby Flay,182
3.30E+14,Taste Of Paris Official,368
2.05E+14,McDonald's,118
8.38E+14,RED Sushi and Hibachi Grill,490
1.24E+14,Chili's Qatar,369
14837382209,Bubba Gump Shrimp Co.,331
7.39E+14,Seamus Mullen,238
3.76E+14,Blue Ribbon Fried Chicken,206
4.30E+14,McDonald's,546
1.32E+11,Famous Dave's Bar-B-Que of America,294
1.15E+14,達美樂披薩,101
1.54E+14,Chef Jamie Gwen,58
3.08E+11,Chef Marcela Valladolid,175
1.80E+14,McDonald's,596
94028442472,Chef Rick Tramonto,277
32384867682,Chef Todd Mohr,406
2.07E+14,Franklin Barbecue,233
1.12E+14,Spago Las Vegas,135
1.63E+11,Ludo Lefebvre,245
1.60E+14,Donal Skehan,143
99653044169,Anis Nabilah,600
4.17E+14,Magnum,287
1.57E+14,KFC,466
1.22E+14,Bradley Ogden,536
4.55E+14,Chef Michael Ferraro,383
5.62E+14,Jumia Food,427
1.51E+14,Tim Love,130
1.58E+14,Domino's Pizza,16
2.91E+14,Audra Morrice,109
1.10E+14,Chef Kent Graham,89
3.89E+14,Santiago Giorgini,232
50454681422,CAKE-BOY,560
1.33E+14,Carl's Jr. NZ,192
1.11E+14,Rachel Allen,172
3.75E+14,Pierre Sang Boyer Officiel,470
3.31E+14,McDonald's,316
2.72E+14,McDonald's,328
2.80E+11,Lindsay Ann Bakes,133
2.06E+14,Anne Burrell,151
4.47E+14,Chope,390
78934590040,Steak 'n Shake,475
1.02E+14,Chef Michael Smith,384
1.29E+14,McDonald's,347
1.01E+14,Maru Botana,81
6.32E+14,Red Lobster México,178
1.55E+14,KFC,619
1.19E+11,FONDA MEXICANA,367
4.32E+14,Chef Jennifer Carroll,221
55341356095,Jimmy John's,330
1.14E+14,Vegan Black Metal Chef,195
2.00E+11,Celler de Can Roca,69
1.96E+14,Juan Mari Arzak (Página oficial),385
5.00E+14,Dining with Flynn,131
1.26E+14,McDonald's,100
1.13E+14,KFC,222
1.19E+14,Chef Adrianne,378
82034284246,KFC,522
1.25E+11,Chef Rick Moonen,558
1.14E+14,foodpanda,74
9.77E+14,Dunkin' Donuts,249
3.44E+14,foodpanda,471
3.83E+14,Nando's,147
4.11E+14,Chef Dana Cohen HK,260
2.73E+14,McDonald's,507
1.58E+14,Taco Bell El Salvador,259
1.58E+14,foodpanda,98
1.45E+14,Madison Cowan,132
2.18E+14,Puesto,77
2.50E+14,Justin Warner,111
1.43E+15,Eckart Witzigmann,13
90378933554,My Cupcake Addiction,397
1.93E+14,Matt Moran,41
1.27E+14,Frantzén,592
1.42E+14,KFC,415
1.71E+14,Telepizza Guatemala,318
1.57E+11,Jehangir,161
1.35E+14,Johnny Iuzzini,372
12135179877,Pedro Lambertini,493
81367538651,McDonald's,307
4.03E+14,Dale Talde,455
3.61E+14,Amandine Chaignot,262
1.44E+15,Graham Elliot,432
1.85E+14,McDonald's,585
44084477240,Skinny Chef,399
2.46E+14,Chef Rusty Hamlin,177
3.50E+11,Domino's Pizza,545
2.42E+14,Chef Mary Sue Milliken,39
1.83E+14,Delverde,420
1.58E+11,Alessandro Borghese,377
1.14E+14,Chef Jet Tila,229
1.78E+14,Grotto,223
6657899956,Domino's Pizza,441
1.73E+14,McDonald's,38
86744073413,Seasons 52,512
2.28E+14,Norbert Tarayre,590
1.38E+14,Chef Jimmy Boswell,553
1.74E+14,McDonald's Paraguay,256
3.79E+14,Relais & Châteaux,530
1.06E+11,Four Seasons Hotels and Resorts,442
60908652688,Sanjeev Kapoor,32
2.52E+11,Chef Billy Parisi,50
1.70E+14,Ravintola Salve,36
1.87E+14,Claire Robinson,271
6.03E+14,Paul Bocuse,526
93172118521,UMass Dining,314
1.98E+14,Domino's Pizza Nigeria,353
1.69E+14,Chef Brian Duffy,243
1.01E+14,Barbie Marshall,298
4.03E+14,McDonald's Vietnam,27
1.86E+15,Kirti Bhoutika,44
3.76E+14,McDonald's,457
1.56E+14,DedeMed,422
91893020406,Spike Mendelsohn,531
2.68E+14,Outlander Kitchen,564
1.19E+11,Wolfgang Puck,227
1.65E+14,Russell Jackson,37
7.61E+14,D'O - Davide Oldani,577
1.17E+14,KFC,398
3.06E+11,Chef Casey Thompson,54
1.13E+14,도미노피자(Dominostory),124
1.49E+14,McDonald's,602
5.84E+14,Dunkin' Donuts,12
4.70E+14,Bruno Ménard,181
4.79E+14,Dean Sheremet,338
3.36E+14,Emily Ellyn,389
1.50E+15,Hakim Chajar,203
1.01E+11,'Wichcraft,528
1.41E+14,Gino D'Acampo,346
7.47E+14,Noma,410
2.72E+11,Alain Ducasse,352
8966519227,Texas Roadhouse,76
3.23E+14,Logan Junior Chef,265
1.89E+14,Domino's Pizza,516
1.35E+11,MASAの料理ABC,186
1.06E+11,Chili's Grill & Bar,8
2.80E+11,McDonald's,31
1.41E+15,Emmi CAFFÈ LATTE,280
1.78E+11,Nando's,306
8.87E+14,Josh Elkin,580
1.10E+11,KFC,319
1.34E+11,McDonald's,79
1.52E+15,Bruno Barbieri,538
1.07E+14,NishaMadhulika,18
1.59E+14,Christophe Adam,476
46882171097,KFC,52
1.92E+14,Chart House,214
2.16E+14,McDonald's,543
1.52E+15,Chef Ben Churchill,291
2.20E+11,Sonia Peronaci,356
2.69E+14,Crystal Jade Palace - JW Marriott Hotel Hanoi,231
2.23E+14,Meriwether's,452
1.90E+14,Harold Dieterle,349
2.28E+11,Domino's Pizza,274
1.08E+11,José Santaella,568
1.85E+14,McDonald's,199
2.71E+14,Monti Carlo,360
1.65E+14,Domino's Pizza,117
1.49E+11,Taco Bell Guatemala,174
1.45E+15,Maria Loi,20
7854678793,Red Robin Gourmet Burgers,247
1.52E+15,Pescaria,405
7937537302,Nando's,501
1.92E+14,Eric Ripert,340
1.69E+14,Chef Pete Evans,449
63398470842,KFC,365
2.71E+14,Saransh Goila,183
1.50E+15,Crystal Jade Singapore,425
72128548261,Ricardo Cuisine,435
3.44E+14,Roy Choi,43
1.75E+14,Burger King Nederland,95
36219199931,Fabio Viviani,136
1.42E+15,Felicitas Pizarro,134
3.74E+14,João Alcantara,94
3.34E+14,foodpanda,295
1.60E+14,Magnum,303
3.83E+14,foodpanda,99
1.51E+14,Dunkin' Coffee,310
21543405100,Chick-fil-A,483
1.58E+14,Nando's,24
1.94E+14,Domino's Pizza,137
3.91E+14,foodpanda / hellofood,176
6.24E+14,foodpanda,393
3.96E+14,Olive Garden México,495
1.13E+14,Hubert Keller,343
19836964440,Five Guys,489
1.50E+15,Levi Eirinberg,375
1.34E+11,Joanna 劉韋彤,92
4.69E+14,Hard Rock Cafe Ibiza,47
3.08E+14,Pollo Campero Guatemala,447
1.02E+14,麥當勞,414
2.91E+14,Delverde,22
1.05E+14,Kristen Kish,570
1.22E+14,Angelo Sosa,283
1.63E+14,KFC,125
1.15E+14,McDonald's,292
1.25E+11,Relais & Châteaux,72
5.54E+14,ChefAlexander,404
1.15E+11,Wings,539
6.93E+14,Ignacio Mattos,273
58027378681,John DeLucie,616
1.01E+14,McDonald's,448
3.63E+14,Los Petersen Cocineros,354
1.02E+16,Nando's,126
1.57E+15,Germán Martitegui,469
1.66E+15,Sam Choy,453
4.61E+14,Magnum,503
1.87E+14,McDonald's,139
52569966012,Roy's Restaurant,444
91702965455,Carl's Jr.,371
47575451523,Bonefish Grill,583
53320451411,Domino's Australia,311
7.29E+14,Christian Le Squer,224
18618646804,Olive Garden,71
38614264036,Taco Bell Careers,57
4.14E+14,Christophe Bacquie,403
2.01E+14,Hardee's Pakistan,431
3.90E+14,Chef Grace Ramirez,411
92873089221,Yard House,49
2.22E+14,Burger King México,492
3.41E+14,タコベル ジャパン　Taco Bell Japan,115
1.67E+14,JW Café - JW Marriott Hotel Hanoi,374
1.59E+14,Cocina familiar con Javier Romero,162
3.95E+14,ad hoc & addendum,86
2.80E+11,Melissa King,419
2.23E+14,Charley's Crab,252
1.49E+15,McDonald's,541
2.03E+14,Magnum,336
49647718129,Gaston Acurio,529
2.88E+14,Carlos Bertolazzi,103
2.60E+11,On The Border,278
2.34E+14,David Chang,67
84369401553,T-rex Cafe,520
5.06E+14,Chef Natale Giunta,168
5.04E+14,Chef Kiran Jethwa,97
2.72E+14,The French Laundry,578
1.22E+14,McDonald's,428
3.73E+11,Nicko's Kitchen,261
1.15E+11,KFC,494
1.32E+14,Chef Damaris Phillips,554
3.06E+14,Jumia Food,163
1.07E+14,Luke Thomas,381
2.44E+14,Clodagh McKenna,140
1.19E+14,Chef Michelle Bernstein,157
1.05E+14,SORTEDfood,114
